alpha,N,m,T_over_tau,nsubs,R,meanV,varV,edf,edf_se,meanW,B,B_se
1,16384,256,6.399609e+01,15361,3000,2.6433493739e-06,2.0472468666e-13,68.260414,1.846534,2.6783033583e-06,0.986949,0.000827
1,16384,512,3.199805e+01,14337,3000,6.6337398243e-07,2.6159699575e-14,33.644503,0.904198,6.7326675009e-07,0.985306,0.001169
1,16384,1024,1.599902e+01,12289,3000,1.6517952764e-07,3.3693423325e-15,16.195610,0.453398,1.6751246014e-07,0.986073,0.001811
1,16384,2048,7.999512e+00,8193,3000,4.0760087451e-08,5.4463719419e-16,6.100886,0.194827,4.1902929699e-08,0.972726,0.003211
1,32768,1,3.276700e+04,32765,3000,2.6167561516e-01,8.2384679484e-06,16623.024572,419.874621,3.8509387725e-01,0.679511,0.000020
1,32768,2,1.638350e+04,32761,3000,5.9877217107e-02,3.9143682614e-07,18318.568356,447.478194,5.8510982265e-02,1.023350,0.000056
1,32768,4,8.191750e+03,32753,3000,1.2157485733e-02,2.8621038557e-08,10328.378480,263.235981,1.2134968040e-02,1.001856,0.000067
1,32768,8,4.095875e+03,32737,3000,2.8034475716e-03,3.3105357472e-09,4748.064294,123.912734,2.8255704817e-03,0.992170,0.000098
1,32768,16,2.047938e+03,32705,3000,6.8189781094e-04,3.9156648759e-10,2374.997040,60.206343,6.8944342707e-04,0.989055,0.000135
1,32768,32,1.023969e+03,32641,3000,1.6936107445e-04,4.9769274830e-11,1152.645830,30.646212,1.7155071265e-04,0.987236,0.000192
1,32768,64,5.119844e+02,32513,3000,4.2204779227e-05,6.0715368760e-12,586.752062,15.474867,4.2755854256e-05,0.987111,0.000272
1,32768,128,2.559922e+02,32257,3000,1.0521418245e-05,7.5789466529e-13,292.125666,7.427343,1.0659736312e-05,0.987024,0.000384
1,32768,256,1.279961e+02,31745,3000,2.6262330737e-06,9.6024132932e-14,143.653474,3.881030,2.6603334589e-06,0.987182,0.000567
1,32768,512,6.399805e+01,30721,3000,6.5756071768e-07,1.1962414173e-14,72.290775,1.853955,6.6636768360e-07,0.986784,0.000810
1,32768,1024,3.199902e+01,28673,3000,1.6489817110e-07,1.6686868623e-15,32.590185,0.892018,1.6717982025e-07,0.986352,0.001224
1,32768,2048,1.599951e+01,24577,3000,4.1293263366e-08,2.1905465289e-16,15.568111,0.437680,4.1786919236e-08,0.988186,0.001925
1,32768,4096,7.999756e+00,16385,3000,1.0254885296e-08,3.5667971414e-17,5.896757,0.281672,1.0498044556e-08,0.976838,0.003225
0,1024,1,1.023000e+03,1021,3000,7.3298554745e-01,1.6348563775e-03,657.266070,17.570476,1.0020916185e+00,0.731456,0.000162
0,1024,2,5.115000e+02,1017,3000,3.0503014536e-01,3.1975070463e-04,581.974571,14.259431,2.9230696951e-01,1.043527,0.000348
0,1024,4,2.557500e+02,1009,3000,1.2592893743e-01,1.1163561187e-04,284.104633,7.288378,1.1982393640e-01,1.050950,0.000534
0,1024,8,1.278750e+02,993,3000,5.9736241781e-02,5.2762487649e-05,135.263470,3.481824,5.6772148502e-02,1.052210,0.000791
0,1024,16,6.393750e+01,961,3000,2.9429953050e-02,2.6305757168e-05,65.850386,1.671664,2.7871612147e-02,1.055911,0.001150
0,1024,32,3.196875e+01,897,3000,1.4701235889e-02,1.3771160586e-05,31.388253,0.924208,1.3991101154e-02,1.050756,0.001686
0,1024,64,1.598438e+01,769,3000,7.2687675819e-03,7.4628954865e-06,14.159379,0.376861,6.8956034336e-03,1.054116,0.002575
0,1024,128,7.992188e+00,513,3000,3.5048835923e-03,4.6088501976e-06,5.330704,0.222715,3.4589225709e-03,1.013288,0.004043
0,2048,1,2.047000e+03,2045,3000,7.3108368758e-01,7.8120025773e-04,1368.364521,36.767551,9.9929502083e-01,0.731599,0.000116
0,2048,2,1.023500e+03,2041,3000,3.0454216192e-01,1.6125959155e-04,1150.268675,28.681473,2.9173417406e-01,1.043903,0.000245
0,2048,4,5.117500e+02,2033,3000,1.2588469540e-01,5.5459964974e-05,571.473730,14.999475,1.1988613489e-01,1.050035,0.000361
0,2048,8,2.558750e+02,2017,3000,5.9547719907e-02,2.5455848410e-05,278.594599,7.319865,5.6578049751e-02,1.052488,0.000537
0,2048,16,1.279375e+02,1985,3000,2.9356180932e-02,1.2703965406e-05,135.671868,3.504384,2.7819279638e-02,1.055246,0.000790
0,2048,32,6.396875e+01,1921,3000,1.4698574731e-02,6.7251417245e-06,64.250869,1.667290,1.3960317314e-02,1.052883,0.001156
0,2048,64,3.198438e+01,1793,3000,7.3213245085e-03,3.5283217427e-06,30.383733,0.796953,6.9523495065e-03,1.053072,0.001638
0,2048,128,1.599219e+01,1537,3000,3.6298403541e-03,1.8785750528e-06,14.027378,0.416790,3.4473451768e-03,1.052938,0.002500
0,2048,256,7.996094e+00,1025,3000,1.7616958017e-03,1.1739949268e-06,5.287198,0.187258,1.7413482232e-03,1.011685,0.004049
0,4096,1,4.095000e+03,4093,3000,7.3183420607e-01,4.0172897239e-04,2666.381277,68.356360,1.0005987013e+00,0.731396,0.000079
0,4096,2,2.047500e+03,4089,3000,3.0434115425e-01,7.8104548665e-05,2371.783456,60.646823,2.9157163135e-01,1.043795,0.000173
0,4096,4,1.023750e+03,4081,3000,1.2567676515e-01,2.7089557815e-05,1166.106099,30.798911,1.1959665346e-01,1.050838,0.000259
0,4096,8,5.118750e+02,4065,3000,5.9615915431e-02,1.2662469364e-05,561.352967,14.974139,5.6619327575e-02,1.052925,0.000413
0,4096,16,2.559375e+02,4033,3000,2.9436739388e-02,6.4671240649e-06,267.977425,6.700537,2.7929807842e-02,1.053954,0.000534
0,4096,32,1.279688e+02,3969,3000,1.4688899976e-02,3.0722093026e-06,140.461643,3.549613,1.3937850214e-02,1.053886,0.000785
0,4096,64,6.398438e+01,3841,3000,7.3305538366e-03,1.5027615712e-06,71.517692,1.908646,6.9560553540e-03,1.053838,0.001172
0,4096,128,3.199219e+01,3585,3000,3.6600173330e-03,8.2255687664e-07,32.570944,0.901329,3.4680153562e-03,1.055364,0.001702
0,4096,256,1.599609e+01,3073,3000,1.8326244799e-03,4.9227100497e-07,13.644974,0.415581,1.7375159957e-03,1.054738,0.002546
0,4096,512,7.998047e+00,2049,3000,8.8966508169e-04,2.9596837870e-07,5.348571,0.258356,8.8404922309e-04,1.006352,0.004015
0,8192,1,8.191000e+03,8189,3000,7.3164721530e-01,1.9700114518e-04,5434.563816,137.398311,1.0002533566e+00,0.731462,0.000055
0,8192,2,4.095500e+03,8185,3000,3.0453551712e-01,3.8674500433e-05,4796.022193,127.072523,2.9177252588e-01,1.043743,0.000124
0,8192,4,2.047750e+03,8177,3000,1.2584799355e-01,1.3531541001e-05,2340.859401,61.898773,1.1979936491e-01,1.050490,0.000182
0,8192,8,1.023875e+03,8161,3000,5.9656611400e-02,6.2181475879e-06,1144.685369,30.999545,5.6690930698e-02,1.052313,0.000277
0,8192,16,5.119375e+02,8129,3000,2.9373921039e-02,3.1723762140e-06,543.962745,14.567244,2.7876075270e-02,1.053732,0.000367
0,8192,32,2.559688e+02,8065,3000,1.4633875252e-02,1.5283157236e-06,280.243541,7.345336,1.3881972893e-02,1.054164,0.000557
0,8192,64,1.279844e+02,7937,3000,7.3185762690e-03,7.8538938319e-07,136.394914,3.458450,6.9306437673e-03,1.055974,0.000789
0,8192,128,6.399219e+01,7681,3000,3.6862660309e-03,4.1964214094e-07,64.762596,1.778650,3.4950450704e-03,1.054712,0.001112
0,8192,256,3.199609e+01,7169,3000,1.8557794345e-03,2.2189531510e-07,31.040920,0.866152,1.7643876847e-03,1.051798,0.001631
0,8192,512,1.599805e+01,6145,3000,9.2074568367e-04,1.2316418365e-07,13.766545,0.369584,8.7379283842e-04,1.053735,0.002503
0,8192,1024,7.999023e+00,4097,3000,4.4274202730e-04,7.3302598979e-08,5.348255,0.165530,4.3930020392e-04,1.007835,0.004100
0,16384,1,1.638300e+04,16381,3000,7.3180293614e-01,1.0402677159e-04,10296.109918,272.933666,1.0004249685e+00,0.731492,0.000038
0,16384,2,8.191500e+03,16377,3000,3.0459299085e-01,1.9179434681e-05,9674.621971,248.587770,2.9183946693e-01,1.043700,0.000084
0,16384,4,4.095750e+03,16369,3000,1.2579193112e-01,6.8232178087e-06,4638.166442,121.347297,1.1977621257e-01,1.050225,0.000130
0,16384,8,2.047875e+03,16353,3000,5.9558156130e-02,3.1292096688e-06,2267.137288,57.599794,5.6560478600e-02,1.053000,0.000191
0,16384,16,1.023938e+03,16321,3000,2.9392349512e-02,1.5888793344e-06,1087.445964,27.753610,2.7890989478e-02,1.053830,0.000272
0,16384,32,5.119688e+02,16257,3000,1.4656636041e-02,7.8648310880e-07,546.272330,14.719645,1.3904751312e-02,1.054074,0.000397
0,16384,64,2.559844e+02,16129,3000,7.3283449284e-03,3.9726555765e-07,270.371485,7.034299,6.9526854220e-03,1.054031,0.000557
0,16384,128,1.279922e+02,15873,3000,3.6629400074e-03,2.0593820661e-07,130.302480,3.291810,3.4755153169e-03,1.053927,0.000769
0,16384,256,6.399609e+01,15361,3000,1.8297889004e-03,9.9812647526e-08,67.088240,1.782508,1.7363124360e-03,1.053836,0.001142
0,16384,512,3.199805e+01,14337,3000,9.1299827452e-04,5.3446894785e-08,31.192302,0.817733,8.6581861560e-04,1.054491,0.001633
0,16384,1024,1.599902e+01,12289,3000,4.5444176589e-04,2.8745618913e-08,14.368612,0.418587,4.3092585404e-04,1.054571,0.002728
0,16384,2048,7.999512e+00,8193,3000,2.1908185530e-04,1.7865610426e-08,5.373100,0.171866,2.1761184324e-04,1.006755,0.003868
0,32768,1,3.276700e+04,32765,3000,7.3122781140e-01,5.2222054075e-05,20477.712784,523.750535,9.9964836807e-01,0.731485,0.000029
0,32768,2,1.638350e+04,32761,3000,3.0436451518e-01,1.0121897614e-05,18304.425047,478.226449,2.9155230815e-01,1.043945,0.000059
0,32768,4,8.191750e+03,32753,3000,1.2584848321e-01,3.5095491298e-06,9025.570033,237.480354,1.1981835782e-01,1.050327,0.000092
0,32768,8,4.095875e+03,32737,3000,5.9639623785e-02,1.6307806687e-06,4362.186520,111.173432,5.6630326118e-02,1.053139,0.000136
0,32768,16,2.047938e+03,32705,3000,2.9444682471e-02,7.6306023098e-07,2272.400764,57.249228,2.7952104226e-02,1.053398,0.000197
0,32768,32,1.023969e+03,32641,3000,1.4664009391e-02,3.8983029530e-07,1103.214265,27.615293,1.3912322918e-02,1.054030,0.000273
0,32768,64,5.119844e+02,32513,3000,7.3285128525e-03,1.8922431453e-07,567.655386,14.266748,6.9497770264e-03,1.054496,0.000390
0,32768,128,2.559922e+02,32257,3000,3.6686415985e-03,9.4562197017e-08,284.657751,7.158282,3.4789157754e-03,1.054536,0.000539
0,32768,256,1.279961e+02,31745,3000,1.8378176213e-03,5.1188755143e-08,131.965452,3.395755,1.7439249706e-03,1.053840,0.000789
0,32768,512,6.399805e+01,30721,3000,9.1823126608e-04,2.4945523612e-08,67.599195,1.800176,8.7250567392e-04,1.052407,0.001125
0,32768,1024,3.199902e+01,28673,3000,4.5665153364e-04,1.3030843921e-08,32.005697,0.871093,4.3306752560e-04,1.054458,0.001681
0,32768,2048,1.599951e+01,24577,3000,2.2690748046e-04,7.4753701183e-09,13.775105,0.397437,2.1611850248e-04,1.049922,0.002628
0,32768,4096,7.999756e+00,16385,3000,1.0821355543e-04,4.3232207602e-09,5.417338,0.171580,1.0666588255e-04,1.014510,0.004173
-1,1024,1,1.023000e+03,1021,3000,2.3397844131e+00,1.2960190765e-02,844.831870,22.459895,2.7730053966e+00,0.843772,0.000256
-1,1024,2,5.115000e+02,1017,3000,1.9671038464e+00,1.4261613855e-02,542.645115,14.845076,1.6207654568e+00,1.213688,0.000615
-1,1024,4,2.557500e+02,1009,3000,1.7344215090e+00,2.3781727992e-02,252.985651,6.547738,1.3664815380e+00,1.269261,0.001012
-1,1024,8,1.278750e+02,993,3000,1.6837206424e+00,4.5373855227e-02,124.958093,3.178784,1.3095027578e+00,1.285771,0.001482
